algorithm,dataset,metric,base_count,op_count,degree_param,candidate_param,alpha,build_time_s,insert_time_s,insert_throughput_ops_s,delete_time_s,delete_throughput_ops_s,active_vectors_after,deleted_edge_check
diskann,glove,angular,1000,100,16,32,1.2,0.19982,0.0479303,2086.36,0.132043,757.331,1000,passed
hnsw,glove,angular,1000,100,16,32,1.2,0.0555364,0.00446542,22394.3,0.114309,874.822,1000,passed
diskann,glove,angular,1000,400,16,32,1.2,0.153779,0.153798,2600.82,0.576833,693.442,1000,passed
hnsw,glove,angular,1000,400,16,32,1.2,0.0579348,0.0288489,13865.3,1.29709,308.383,1000,passed
diskann,glove,angular,1000,1600,16,32,1.2,0.154683,0.737556,2169.33,3.09356,517.204,1000,passed
hnsw,glove,angular,1000,1600,16,32,1.2,0.0478193,0.120458,13282.7,6.10319,262.158,1000,passed
diskann,glove,angular,1000,6400,16,32,1.2,0.166456,3.27564,1953.81,12.5025,511.898,1000,passed
hnsw,glove,angular,1000,6400,16,32,1.2,0.0472069,0.532136,12027.0,27.6964,231.077,1000,passed
diskann,coco,angular,1000,100,16,32,1.2,1.55252,0.440685,226.919,1.26111,79.295,1000,passed
hnsw,coco,angular,1000,100,16,32,1.2,0.485911,0.0512699,1950.46,0.977878,102.262,1000,passed
diskann,coco,angular,1000,400,16,32,1.2,1.57659,1.85281,215.888,7.52209,53.1767,1000,passed
hnsw,coco,angular,1000,400,16,32,1.2,0.481483,0.18176,2200.71,3.88523,102.954,1000,passed
diskann,coco,angular,1000,1600,16,32,1.2,2.00319,8.65482,184.868,32.6195,49.0504,1000,passed
hnsw,coco,angular,1000,1600,16,32,1.2,0.434319,0.855442,1870.38,17.4462,91.7105,1000,passed
diskann,coco,angular,1000,6400,16,32,1.2,1.69738,33.1534,193.042,135.459,47.2469,1000,passed
hnsw,coco,angular,1000,6400,16,32,1.2,0.470838,3.71785,1721.43,104.488,61.2509,1000,passed
diskann,fashion,euclidean,1000,100,16,32,1.2,1.0484,0.235324,424.946,1.09337,91.4606,1000,passed
hnsw,fashion,euclidean,1000,100,16,32,1.2,0.423594,0.0512852,1949.88,0.804986,124.226,1000,passed
diskann,fashion,euclidean,1000,400,16,32,1.2,1.04653,1.11723,358.03,5.47257,73.0918,1000,passed
hnsw,fashion,euclidean,1000,400,16,32,1.2,0.486699,0.19396,2062.28,2.90492,137.697,1000,passed
diskann,fashion,euclidean,1000,1600,16,32,1.2,1.24671,6.26874,255.235,24.7206,64.7235,1000,passed
hnsw,fashion,euclidean,1000,1600,16,32,1.2,0.420148,0.823921,1941.93,16.0779,99.5153,1000,passed
diskann,fashion,euclidean,1000,6400,16,32,1.2,1.02764,28.6709,223.223,107.586,59.4873,1000,passed
hnsw,fashion,euclidean,1000,6400,16,32,1.2,0.396593,3.62708,1764.51,86.7866,73.7441,1000,passed
